     436,     436,   10728,   10857,   10857,     436,     436,   10728,   10857,   10857,     436,     436,   10578,   11371,   11371,     436,     436,   11421,   11421,   11421,     436,     436,     436,    2082,     757,     436,     436,    6678,    1470,    1470,     436,     436,    4705,    1470,    1470,     436,     436,    2082,    1470,    1470,     436,      10,      10,      10,      10,     436,      10,      10,      10,      10,     436,      10,      10,      10,      10,     436,      10,      10,      10,      10,     436,     436,     361,    7292,    7292,     436,     436,     361,    7292,    7292,     436,     436,     361,     379,    7292,     436,     436,     361,     379,     379,     436,     436,     436,     213,    5051,     436,     436,     213,    5051,    5051,     436,     436,    9557,    9557,    9557,     436,     436,    9557,    5051,    5051
     526,     526,   11421,   11421,   11421,     526,     526,   11421,   10728,   10728,     526,     526,   10728,   10728,   10728,     526,     526,   10728,   10728,   10728,     526,     526,     526,   11136,    1470,     526,     526,    2200,    1975,    1975,     526,     526,    3560,    1975,    1975,     526,     526,   11136,    1975,    1975,     526,     240,     240,     240,     240,     526,     240,     240,     240,     240,     526,     240,     240,     240,     240,     526,     240,     240,     240,     240,     526,     526,     379,   12616,   12616,     526,     526,     379,   12616,   12616,     526,     526,     379,     436,   12616,     526,     526,     379,     436,     436,     526,     526,     526,    5051,    9557,     526,     526,    5051,    9557,    9557,     526,     526,    5051,    5051,    5051,     526,     526,    5051,    2375,    2375
     539,     539,   10818,   10728,   10728,     539,     539,   10818,   11421,   11421,     539,     539,   11421,   11421,   11421,     539,     539,   10677,   10677,   10677,     539,     539,     539,    1984,    1975,     539,     539,    3832,    2082,    2082,     539,     539,    4391,    2082,    2082,     539,     539,    4958,    2082,    2082,     539,     243,     243,     243,     243,     539,     243,     243,     243,     243,     539,     243,     243,     243,     243,     539,     243,     243,     243,     243,     539,     539,     436,    5702,    5702,     539,     539,     436,    5702,    5702,     539,     539,     436,     526,    5702,     539,     539,     436,     526,     526,     539,     539,     539,    9557,    8083,     539,     539,    9557,   11419,   11419,     539,     539,   11534,    2375,    2375,     539,     539,    4904,    5143,    5143
     568,     568,   10677,   10818,   10818,     568,     568,   10677,   10818,   10818,     568,     568,   10818,   10818,   10818,     568,     568,   10818,   10818,   10818,     568,     568,     568,     541,    2082,     568,     568,    4301,   11136,   11136,     568,     568,    3832,   11136,   11136,     568,     568,     541,   11136,   11136,     568,     306,     306,     306,     306,     568,     306,     306,     306,     306,     568,     306,     306,     306,     306,     568,     306,     306,     306,     306,     568,     568,     526,    2524,    2524,     568,     568,     526,    2524,    2524,     568,     568,     526,     539,    2524,     568,     568,     526,     539,     539,     568,     568,     568,    5322,    7409,     568,     568,   11419,    2375,    2375,     568,     568,    2375,    4904,    4904,     568,     568,     134,    4904,    4904
     574,     574,   10012,   10677,   10677,     574,     574,   10012,   10677,   10677,     574,     574,   10677,   10677,   10677,     574,     574,   10578,   11371,   11371,     574,     574,     574,    9926,   11136,     574,     574,   11437,    1984,    1984,     574,     574,    7794,     541,     541,     574,     574,    1984,     541,     541,     574,     322,     322,     322,     322,     574,     322,     322,     322,     322,     574,     322,     322,     322,     322,     574,     322,     322,     322,     322,     574,     574,     539,   10323,   10323,     574,     574,     539,   10323,   10323,     574,     574,     539,     568,   10323,     574,     574,     539,     568,     568,     574,     574,     574,    7409,    7536,     574,     574,    5789,    4904,    4904,     574,     574,     134,    5143,    5143,     574,     574,    2375,   12453,   12453
     608,     608,   11160,   10012,   10012,     608,     608,   11160,   11160,   11160,     608,     608,   11160,   11160,   11160,     608,     608,   11160,   11160,   11160,     608,     608,     608,    2934,    1984,     608,     608,    6306,     541,     541,     608,     608,    3460,    1984,    1984,     608,     608,   10866,   14005,   14005,     608,     349,     349,     349,     349,     608,     349,     349,     349,     349,     608,     349,     349,     349,     349,     608,     349,     349,     349,     349,     608,     608,     568,    5865,    5865,     608,     608,     568,    5865,    5865,     608,     608,     568,     574,   11781,     608,     608,     568,     574,     574,     608,     608,     608,    7536,    2375,     608,     608,    2375,   11506,   11506,     608,     608,    4904,   11506,   11506,     608,     608,   12453,    7427,    7427
     632,     632,     812,   11160,   11160,     632,     632,     812,   10012,   10012,     632,     632,   10012,   10012,   10012,     632,     632,   10012,   10012,   10012,     632,     632,     632,    6368,     541,     632,     632,   10530,   13315,   13315,     632,     632,    4690,   14005,   14005,     632,     632,    1419,    9997,    9997,     632,     361,     361,     361,     361,     632,     361,     361,     361,     361,     632,     361,     361,     361,     361,     632,     361,     361,     361,     361,     632,     632,     574,   11781,   11781,     632,     632,     574,   11781,   11781,     632,     632,     574,     608,    5865,     632,     632,     574,     608,     608,     632,     632,     632,    5789,    4904,     632,     632,     134,    5143,    5143,     632,     632,   11506,   12453,   12453,     632,     632,    6359,    9938,    9938
     665,     665,    4276,    4276,    4276,     665,     665,    4276,    4276,    4276,     665,     665,    4276,    4276,    4276,     665,     665,    4276,    4276,    4276,     665,     665,     665,   13315,    9926,     665,     665,    4796,   14005,   14005,     665,     665,    4734,    9997,    9997,     665,     665,    1355,    1355,    1355,     665,     379,     379,     379,     379,     665,     379,     379,     379,     379,     665,     379,     379,     379,     379,     665,     379,     379,     379,     379,     665,     665,     608,   10531,   10531,     665,     665,     608,    5381,    5381,     665,     665,     608,     632,    5381,     665,     665,     608,     632,     632,     665,     665,     665,   13819,    6447,     665,     665,    4904,    7409,    7409,     665,     665,   10155,    7427,    7427,     665,     665,     606,   11159,   11159
     727,     727,     953,   11306,   11306,     727,     727,     953,   11306,   11306,     727,     727,     953,   11306,   11306,     727,     727,   11673,   11306,   11306,     727,     727,     727,   11480,    2934,     727,     727,   11310,    9997,    9997,     727,     727,    8378,    1355,    1355,     727,     727,   14005,    6306,    6306,     727,     436,     436,     436,     436,     727,     436,     436,     436,     436,     727,     436,     436,     436,     436,     727,     436,     436,     436,     436,     727,     727,     632,    5381,    5381,     727,     727,     632,    9386,    9386,     727,     727,     632,     665,    9386,     727,     727,     632,     665,     665,     727,     727,     727,    8083,   11506,     727,     727,   11506,   12453,   12453,     727,     727,    4829,    9938,    9938,     727,     727,   11655,   12034,   12034
     735,     735,   10010,     953,     953,     735,     735,   10010,     953,     953,     735,     735,   10010,   11673,   11673,     735,     735,     953,   11673,   11673,     735,     735,     735,   12928,    6368,     735,     735,   12166,    1355,    1355,     735,     735,    9144,    6306,    6306,     735,     735,     998,     998,     998,     735,     526,     526,     526,     526,     735,     526,     526,     526,     526,     735,     526,     526,     526,     526,     735,     526,     526,     526,     526,     735,     735,     665,    9386,    9386,     735,     735,     665,    5720,    5720,     735,     735,     665,     727,    5720,     735,     735,     665,     727,     727,     735,     735,     735,    2375,    5143,     735,     735,   10155,    7427,    7427,     735,     735,    7427,   11159,   11159,     735,     735,   11580,    5913,    5913
